# 'Degree', 'Strength', 'Clustering coefficient', 'Average path length', 'Maximum path lenght', 'Betweenness', 'Eigenvector centrality', 'PageRank'
7,7.00000000e+00,4.76190476e-02,2.35483871e+00,5,2.48237196e-01,1.32765506e-01,2.06123354e-02
11,1.10000000e+01,2.36363636e-01,2.46774194e+00,6,1.38569789e-01,3.00560928e-01,2.98689545e-02
8,8.00000000e+00,2.85714286e-01,2.98387097e+00,7,4.53522388e-02,1.96616539e-01,2.39342110e-02
2,2.00000000e+00,0.00000000e+00,2.93548387e+00,5,7.05167785e-02,2.08759707e-02,7.76617401e-03
8,8.00000000e+00,2.50000000e-01,2.43548387e+00,5,1.43149518e-01,2.07872631e-01,2.19630689e-02
5,5.00000000e+00,6.00000000e-01,3.30645161e+00,6,2.32516007e-02,1.52621031e-02,1.61446556e-02
6,6.00000000e+00,3.33333333e-01,2.98387097e+00,6,2.91579519e-02,8.09506834e-02,1.76158642e-02
7,7.00000000e+00,2.38095238e-01,2.91935484e+00,7,6.28306044e-02,1.90337960e-01,2.16865444e-02
4,4.00000000e+00,1.66666667e-01,3.16129032e+00,7,1.20378058e-02,7.78021296e-02,1.28283872e-02
11,1.10000000e+01,3.09090909e-01,2.83870968e+00,7,4.06704406e-02,2.85003105e-01,2.95071372e-02
2,2.00000000e+00,0.00000000e+00,3.83870968e+00,8,3.00846694e-03,2.97162448e-02,8.82455334e-03
6,6.00000000e+00,4.00000000e-01,2.90322581e+00,6,2.32014761e-02,8.03719576e-02,1.73372847e-02
1,1.00000000e+00,0.00000000e+00,4.22580645e+00,7,0.00000000e+00,2.41984739e-03,5.26325794e-03
2,2.00000000e+00,0.00000000e+00,3.98387097e+00,8,9.28961749e-04,2.34295670e-02,8.87543003e-03
7,7.00000000e+00,2.38095238e-01,2.80645161e+00,7,3.34110349e-02,2.17690513e-01,1.92276578e-02
10,1.00000000e+01,2.44444444e-01,2.98387097e+00,7,8.46772548e-02,2.10680209e-01,3.12923425e-02
4,4.00000000e+00,3.33333333e-01,2.87096774e+00,6,1.92343449e-02,1.29563591e-01,1.20701506e-02
2,2.00000000e+00,0.00000000e+00,3.79032258e+00,8,1.19307832e-03,3.36866546e-02,8.17972121e-03
7,7.00000000e+00,3.80952381e-01,3.03225806e+00,5,9.91216468e-02,2.30223765e-02,2.16594518e-02
2,2.00000000e+00,0.00000000e+00,3.62903226e+00,7,8.77469525e-04,5.21093439e-02,7.49283917e-03
2,2.00000000e+00,0.00000000e+00,4.61290323e+00,7,1.36612022e-04,2.61231419e-03,8.32973572e-03
9,9.00000000e+00,3.61111111e-01,3.25806452e+00,6,8.42046834e-02,1.74019737e-02,3.01089414e-02
1,1.00000000e+00,0.00000000e+00,3.95161290e+00,8,0.00000000e+00,2.73320621e-02,4.96224728e-03
5,5.00000000e+00,3.00000000e-01,2.87096774e+00,6,2.03327747e-02,1.11818657e-01,1.47653509e-02
1,1.00000000e+00,0.00000000e+00,5.51612903e+00,8,0.00000000e+00,5.37438475e-04,6.19211066e-03
3,3.00000000e+00,0.00000000e+00,3.25806452e+00,7,1.41949826e-02,5.19911720e-02,1.10373030e-02
